Number of antennas,60000
number of divisions in x axis,10
number of divisions in y axis,10
Patch Antenna1
0,1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,1,1,1,1
0,0,1,1,1,1,0,0,0,1
1,1,1,1,0,0,1,0,0,1
0,1,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,1,1,0
1,0,1,1,1,1,1,0,1,0
0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,1,1,0,1,0
1,1,0,0,0,1,0,1,0,0
Patch Antenna2
0,1,0,0,1,0,1,1,0,1
1,1,1,1,0,0,1,1,0,0
1,1,0,0,1,1,0,1,1,1
1,1,1,1,0,1,0,1,0,0
1,0,0,1,1,0,1,0,0,1
1,0,1,1,0,0,0,0,1,0
0,1,1,0,0,1,1,0,1,0
0,1,0,1,0,1,1,0,0,0
0,1,0,1,1,0,0,0,1,1
0,1,1,1,1,0,0,0,1,0
Patch Antenna3
0,0,0,1,0,1,1,1,0,1
1,0,0,1,0,1,0,0,0,0
1,1,1,1,0,1,0,0,1,0
0,1,1,1,1,1,0,0,1,0
1,1,1,1,1,1,1,0,1,1
0,1,1,0,0,1,0,0,0,0
0,1,1,1,1,1,1,0,0,1
1,1,0,0,0,1,1,0,1,1
0,0,1,1,0,0,1,0,0,1
0,0,0,0,0,1,0,0,1,1
Patch Antenna4
0,0,1,0,0,1,1,1,1,1
0,0,0,0,0,1,0,1,1,1
1,1,0,0,0,0,0,1,0,1
0,1,0,1,0,1,1,0,0,1
1,1,0,0,0,1,1,1,0,1
1,1,1,0,1,1,1,1,1,0
0,1,0,1,1,1,1,0,1,1
1,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,1,0,0,1
0,1,0,1,0,0,0,1,1,1
Patch Antenna5
1,0,1,1,1,1,1,1,1,0
0,1,0,1,1,0,1,1,1,1
0,1,0,1,0,1,0,1,0,0
1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0
0,1,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,1,1,1
0,1,1,0,0,1,0,0,1,0
0,0,0,0,1,0,1,1,1,1
0,1,1,1,0,0,0,1,0,0
Patch Antenna6
0,1,0,0,1,0,0,0,0,1
0,0,0,0,1,1,1,0,0,0
1,0,0,1,1,0,0,1,1,0
1,0,1,0,1,1,1,1,1,0
0,1,1,1,1,1,1,1,0,1
0,1,1,0,1,1,0,1,0,0
1,1,0,1,0,1,1,0,0,0
1,0,1,0,0,1,1,0,1,1
0,0,1,0,0,0,0,1,0,1
1,1,0,1,0,0,0,0,0,1
Patch Antenna7
0,1,1,1,1,1,0,0,0,1
1,0,1,1,1,0,0,1,1,0
0,0,1,0,1,0,0,0,1,1
0,0,0,0,1,0,0,0,1,1
1,1,0,1,0,1,0,0,1,1
0,0,0,1,1,1,1,0,1,1
1,0,1,0,1,1,0,1,1,0
1,0,0,1,0,1,0,1,1,0
1,1,1,0,0,1,1,1,1,1
0,0,0,0,1,0,1,1,1,0
Patch Antenna8
1,0,1,0,0,1,1,0,0,0
0,0,1,0,1,0,0,0,0,1
0,0,0,0,1,0,1,1,0,0
1,1,0,1,1,1,0,0,0,1
1,0,1,0,0,1,0,0,0,0
1,0,1,1,0,0,0,0,1,1
0,0,1,1,1,0,1,1,1,1
1,0,1,0,1,1,1,1,1,0
0,1,0,0,1,1,0,0,0,0
1,0,0,1,1,1,0,0,0,0
Patch Antenna9
0,1,0,1,1,1,0,1,1,0
